Robot 0 Path:
Time, X, Y, Action
27.00, 2, 26, Arrive_Stack_2004
166.00, 76, 0, Arrive_Station_1
39.00, 10, 24, Arrive_Stack_1858
166.00, 76, 0, Arrive_Station_1
58.00, 15, 19, Arrive_Stack_1478
238.00, 76, 0, Arrive_Station_1
102.00, 55, 17, Arrive_Stack_1364
238.00, 76, 0, Arrive_Station_1
120.00, 50, 6, Arrive_Stack_512
166.00, 76, 0, Arrive_Station_1
142.00, 65, 10, Arrive_Stack_835
166.00, 76, 0, Arrive_Station_1
196.00, 73, 27, Arrive_Stack_2152
238.00, 76, 0, Arrive_Station_1
213.00, 70, 16, Arrive_Stack_1302
238.00, 76, 0, Arrive_Station_1
------------------------------
Robot 1 Path:
Time, X, Y, Action
5.00, 3, 3, Arrive_Stack_234
14.00, 0, 0, Arrive_Station_0
84.00, 65, 5, Arrive_Stack_450
124.00, 76, 0, Arrive_Station_1
99.00, 71, 11, Arrive_Stack_918
124.00, 76, 0, Arrive_Station_1
152.00, 64, 16, Arrive_Stack_1296
273.00, 0, 0, Arrive_Station_0
156.00, 62, 16, Arrive_Stack_1294
273.00, 0, 0, Arrive_Station_0
191.00, 34, 17, Arrive_Stack_1343
273.00, 0, 0, Arrive_Station_0
235.00, 7, 25, Arrive_Stack_1932
273.00, 0, 0, Arrive_Station_0
------------------------------
