Global Makespan: 378.00s
==============================

[Station Statistics]
Station 0: Idle Time = 193.00s
Station 1: Idle Time = 205.00s

[Order Completion Times]
Order 0: Completed at 309.00s
Order 1: Completed at 378.00s

[Detailed Task Log]
TaskID   | SubTask  | Station  | Arrive(S)  | StartPick  | EndPick    | WaitTime   | PickDur    | ExtraDur   | TotalDur  
11       | 0        | 0        | 14.00      | 14.00      | 94.00      | 0.00       | 78.00      | 2.00       | 80.00     
7        | 1        | 1        | 166.00     | 166.00     | 199.00     | 0.00       | 33.00      | 0.00       | 33.00     
6        | 1        | 1        | 238.00     | 238.00     | 273.00     | 0.00       | 33.00      | 2.00       | 35.00     
0        | 2        | 1        | 166.00     | 273.00     | 282.00     | 107.00     | 9.00       | 0.00       | 9.00      
2        | 2        | 1        | 166.00     | 282.00     | 288.00     | 116.00     | 6.00       | 0.00       | 6.00      
5        | 2        | 1        | 166.00     | 288.00     | 294.00     | 122.00     | 6.00       | 0.00       | 6.00      
1        | 2        | 1        | 238.00     | 294.00     | 300.00     | 56.00      | 6.00       | 0.00       | 6.00      
3        | 2        | 1        | 238.00     | 300.00     | 303.00     | 62.00      | 3.00       | 0.00       | 3.00      
4        | 2        | 1        | 238.00     | 303.00     | 309.00     | 65.00      | 6.00       | 0.00       | 6.00      
14       | 3        | 0        | 273.00     | 273.00     | 315.00     | 0.00       | 42.00      | 0.00       | 42.00     
12       | 4        | 1        | 124.00     | 309.00     | 336.00     | 185.00     | 27.00      | 0.00       | 27.00     
8        | 5        | 0        | 273.00     | 315.00     | 342.00     | 42.00      | 27.00      | 0.00       | 27.00     
13       | 4        | 1        | 124.00     | 336.00     | 348.00     | 212.00     | 12.00      | 0.00       | 12.00     
9        | 5        | 0        | 273.00     | 342.00     | 366.00     | 69.00      | 24.00      | 0.00       | 24.00     
10       | 5        | 0        | 273.00     | 366.00     | 378.00     | 93.00      | 12.00      | 0.00       | 12.00     
