[Station FCFS Queue]

=== Station 0 ===
Seq | TaskID | SubTask | Arrive | Start | End | Wait | PickDur | ExtraDur | TotalDur | NoiseCnt
  1 |     12 |       3 | 200.00 | 200.00 | 245.00 | 0.00 |   45.00 |     0.00 |    45.00 |        0
  2 |      7 |       5 | 200.00 | 245.00 | 272.00 | 45.00 |   27.00 |     0.00 |    27.00 |        0
  3 |      8 |       5 | 200.00 | 272.00 | 284.00 | 72.00 |   12.00 |     0.00 |    12.00 |        0
  4 |      9 |       0 | 215.00 | 284.00 | 364.00 | 69.00 |   78.00 |     2.00 |    80.00 |        1

=== Station 1 ===
Seq | TaskID | SubTask | Arrive | Start | End | Wait | PickDur | ExtraDur | TotalDur | NoiseCnt
  1 |      6 |       1 | 171.00 | 171.00 | 186.00 | 0.00 |   15.00 |     0.00 |    15.00 |        0
  2 |      1 |       2 | 171.00 | 186.00 | 192.00 | 15.00 |    6.00 |     0.00 |     6.00 |        0
  3 |      2 |       2 | 171.00 | 192.00 | 201.00 | 21.00 |    9.00 |     0.00 |     9.00 |        0
  4 |      3 |       2 | 171.00 | 201.00 | 204.00 | 30.00 |    3.00 |     0.00 |     3.00 |        0
  5 |      4 |       2 | 171.00 | 204.00 | 210.00 | 33.00 |    6.00 |     0.00 |     6.00 |        0
  6 |     11 |       4 | 206.00 | 210.00 | 236.00 | 4.00 |   24.00 |     2.00 |    26.00 |        1
  7 |      5 |       1 | 262.00 | 262.00 | 322.00 | 0.00 |   54.00 |     6.00 |    60.00 |        3
  8 |      0 |       2 | 262.00 | 322.00 | 331.00 | 60.00 |    9.00 |     0.00 |     9.00 |        0
  9 |     10 |       4 | 297.00 | 331.00 | 375.00 | 34.00 |   36.00 |     8.00 |    44.00 |        4
