=== TRA Rotating Outer Loop Summary ===
scale=SMALL, seed=42
best_z=375.000s @ iter=7

iter | focus |          z |       best | imp | skip |         lb
------------------------------------------------------------------------
   0 | init |    463.000 |    463.000 |   Y |    N |    -   
   1 |  M_X |    389.000 |    389.000 |   Y |    N |    218.000
   2 |  M_Y |    596.000 |    389.000 |   N |    N |    327.000
   3 |  M_B |    389.000 |    389.000 |   N |    N |    189.000
   4 | M_XYB |    382.000 |    382.000 |   Y |    N |    327.000
   5 |  M_R |    382.000 |    382.000 |   N |    N |    305.000
   6 | M_XYB |    474.000 |    382.000 |   N |    N |    305.000
   7 |  M_X |    375.000 |    375.000 |   Y |    N |    222.000
   8 |  M_B |    375.000 |    375.000 |   N |    N |    178.000
   9 |  M_Y |    429.000 |    375.000 |   N |    N |    297.000
  10 |  M_R | SKIP |    375.000 |   N |    Y |    392.000
