Global Makespan: 182.00s
==============================

[Station Statistics]
Station 0: Idle Time = 155.00s
Station 1: Idle Time = 131.00s
Station 2: Idle Time = 100.00s
Station 3: Idle Time = 103.00s

[Order Completion Times]
Order 0: Completed at 164.00s
Order 1: Completed at 153.00s
Order 2: Completed at 118.00s
Order 3: Completed at 118.00s
Order 4: Completed at 182.00s

[Detailed Task Log]
TaskID   | SubTask  | Station  | Arrive(S)  | StartPick  | EndPick    | WaitTime   | PickDur    | ExtraDur   | TotalDur  
7        | 2        | 2        | 100.00     | 100.00     | 106.00     | 0.00       | 6.00       | 0.00       | 6.00      
3        | 4        | 2        | 100.00     | 106.00     | 115.00     | 6.00       | 9.00       | 0.00       | 9.00      
4        | 4        | 2        | 100.00     | 115.00     | 118.00     | 15.00      | 3.00       | 0.00       | 3.00      
11       | 3        | 3        | 103.00     | 103.00     | 118.00     | 0.00       | 15.00      | 0.00       | 15.00     
8        | 1        | 1        | 131.00     | 131.00     | 150.00     | 0.00       | 15.00      | 4.00       | 19.00     
9        | 1        | 1        | 131.00     | 150.00     | 153.00     | 19.00      | 3.00       | 0.00       | 3.00      
5        | 0        | 0        | 155.00     | 155.00     | 161.00     | 0.00       | 6.00       | 0.00       | 6.00      
6        | 0        | 0        | 155.00     | 161.00     | 164.00     | 6.00       | 3.00       | 0.00       | 3.00      
2        | 5        | 0        | 150.00     | 164.00     | 167.00     | 14.00      | 3.00       | 0.00       | 3.00      
0        | 5        | 0        | 155.00     | 167.00     | 179.00     | 12.00      | 12.00      | 0.00       | 12.00     
1        | 5        | 0        | 155.00     | 179.00     | 182.00     | 24.00      | 3.00       | 0.00       | 3.00      
