Global Makespan: 212.00s
==============================

[Station Statistics]
Station 0: Idle Time = 185.00s
Station 1: Idle Time = 160.00s
Station 2: Idle Time = 102.00s
Station 3: Idle Time = 181.00s

[Order Completion Times]
Order 0: Completed at 194.00s
Order 1: Completed at 175.00s
Order 2: Completed at 119.00s
Order 3: Completed at 193.00s
Order 4: Completed at 212.00s
Order 5: Completed at 184.00s

[Detailed Task Log]
TaskID   | SubTask  | Station  | Arrive(S)  | StartPick  | EndPick    | WaitTime   | PickDur    | ExtraDur   | TotalDur  
0        | 2        | 2        | 102.00     | 102.00     | 116.00     | 0.00       | 12.00      | 2.00       | 14.00     
1        | 2        | 2        | 102.00     | 116.00     | 119.00     | 14.00      | 3.00       | 0.00       | 3.00      
7        | 1        | 1        | 160.00     | 160.00     | 175.00     | 0.00       | 15.00      | 0.00       | 15.00     
4        | 6        | 1        | 128.00     | 175.00     | 184.00     | 47.00      | 9.00       | 0.00       | 9.00      
2        | 3        | 3        | 181.00     | 181.00     | 190.00     | 0.00       | 9.00       | 0.00       | 9.00      
8        | 0        | 0        | 185.00     | 185.00     | 191.00     | 0.00       | 6.00       | 0.00       | 6.00      
3        | 3        | 3        | 181.00     | 190.00     | 193.00     | 9.00       | 3.00       | 0.00       | 3.00      
9        | 0        | 0        | 185.00     | 191.00     | 194.00     | 6.00       | 3.00       | 0.00       | 3.00      
10       | 5        | 3        | 181.00     | 193.00     | 196.00     | 12.00      | 3.00       | 0.00       | 3.00      
11       | 5        | 3        | 181.00     | 196.00     | 199.00     | 15.00      | 3.00       | 0.00       | 3.00      
5        | 4        | 0        | 185.00     | 194.00     | 209.00     | 9.00       | 15.00      | 0.00       | 15.00     
6        | 4        | 0        | 185.00     | 209.00     | 212.00     | 24.00      | 3.00       | 0.00       | 3.00      
