iter,layer,candidate_rank,candidate_stage,destroy_operator,repair_operator,fallback_used,projection_mode,projection_repaired_subtask_count,F_raw,F_cal,duplicate_tote_count,duplicate_tote_penalty,candidate_signature,selected_for_sa
1,Z,3,rough,z_destroy_multistack_window,z_repair_sort_range_shrink_first,False,,0,798.5621974661425,798.5621974661425,0,0.0,"('Z', 'z_destroy_multistack_window', ((2, (0, 1)),), 'z_repair_sort_range_shrink_first', (389, 1556), ('SORT',))",False
1,Z,2,rough,z_destroy_mode_window,z_repair_sort_range_shrink_first,False,,0,780.0121974661424,780.0121974661424,0,0.0,"('Z', 'z_destroy_mode_window', ((0, (8, 9)),), 'z_repair_sort_range_shrink_first', (509, 2655), ('SORT',))",False
1,Z,1,rough,z_destroy_mode_window,z_repair_same_stack_window,False,,0,780.0121974661424,780.0121974661424,0,0.0,"('Z', 'z_destroy_mode_window', ((0, (8, 9)),), 'z_repair_same_stack_window', (509, 2655), ('SORT',))",False
2,Z,3,rough,z_destroy_multistack_window,z_repair_mode_toggle_contextual,False,,0,798.5621974661425,798.5621974661425,0,0.0,"('Z', 'z_destroy_multistack_window', ((2, (0, 1)),), 'z_repair_mode_toggle_contextual', (389, 1556), ('SORT',))",False
2,Z,2,rough,z_destroy_multistack_window,z_repair_bounded_detour_window,False,,0,780.0121974661424,780.0121974661424,0,0.0,"('Z', 'z_destroy_multistack_window', ((0, (8, 9)),), 'z_repair_bounded_detour_window', (509, 2655), ('SORT',))",False
2,Z,1,rough,z_destroy_mode_window,z_repair_bounded_detour_window,False,,0,780.0121974661424,780.0121974661424,0,0.0,"('Z', 'z_destroy_mode_window', ((0, (8, 9)),), 'z_repair_bounded_detour_window', (509, 2655), ('SORT',))",False
3,Z,2,rough,z_destroy_noise_window,z_repair_same_stack_window,False,,0,790.2588641328091,790.2588641328091,0,0.0,"('Z', 'z_destroy_noise_window', ((1, (7,)), (2, (0, 1))), 'z_repair_same_stack_window', (509, 1495, 389, 1556), ('SORT', 'SORT'))",False
3,Z,1,rough,z_destroy_multistack_window,z_repair_same_stack_window,False,,0,771.5321974661424,771.5321974661424,0,0.0,"('Z', 'z_destroy_multistack_window', ((3, (2, 3)),), 'z_repair_same_stack_window', (2862, 523), ('FLIP',))",False
3,Z,3,rough,z_destroy_mode_window,z_repair_sort_range_shrink_first,False,,0,809.6921974661425,809.6921974661425,0,0.0,"('Z', 'z_destroy_mode_window', ((0, (8, 9)), (1, (7,))), 'z_repair_sort_range_shrink_first', (509, 1495, 2655), ('SORT', 'SORT'))",False
4,Z,3,rough,z_destroy_multistack_window,z_repair_sort_range_shrink_first,False,,0,780.0121974661424,780.0121974661424,0,0.0,"('Z', 'z_destroy_multistack_window', ((0, (8, 9)),), 'z_repair_sort_range_shrink_first', (509, 2655), ('SORT',))",False
4,Z,1,rough,z_destroy_mode_window,z_repair_bounded_detour_window,False,,0,769.4121974661424,769.4121974661424,0,0.0,"('Z', 'z_destroy_mode_window', ((1, (7,)), (3, (2, 3))), 'z_repair_bounded_detour_window', (509, 1495, 2862, 523), ('SORT', 'FLIP'))",False
4,Z,2,rough,z_destroy_detour_window,z_repair_sort_range_shrink_first,False,,0,780.0121974661424,780.0121974661424,0,0.0,"('Z', 'z_destroy_detour_window', ((0, (8, 9)),), 'z_repair_sort_range_shrink_first', (509, 2655), ('SORT',))",False
5,Z,2,rough,z_destroy_detour_window,z_repair_same_stack_window,False,,0,790.2588641328091,790.2588641328091,0,0.0,"('Z', 'z_destroy_detour_window', ((1, (7,)), (2, (0, 1))), 'z_repair_same_stack_window', (509, 1495, 389, 1556), ('SORT', 'SORT'))",False
5,Z,3,rough,z_destroy_detour_window,z_repair_mode_toggle_contextual,False,,0,798.5621974661425,798.5621974661425,0,0.0,"('Z', 'z_destroy_detour_window', ((2, (0, 1)),), 'z_repair_mode_toggle_contextual', (389, 1556), ('SORT',))",False
5,Z,1,rough,z_destroy_multistack_window,z_repair_same_stack_window,False,,0,780.0121974661424,780.0121974661424,0,0.0,"('Z', 'z_destroy_multistack_window', ((0, (8, 9)),), 'z_repair_same_stack_window', (509, 2655), ('SORT',))",False
