Global Makespan: 233.00s
==============================

[Station Statistics]
Station 0: Idle Time = 208.00s
Station 1: Idle Time = 209.00s
Station 2: Idle Time = 175.00s
Station 3: Idle Time = 156.00s
Station 4: Idle Time = 152.00s

[Order Completion Times]
Order 0: Completed at 184.00s
Order 1: Completed at 227.00s
Order 2: Completed at 187.00s
Order 3: Completed at 174.00s
Order 4: Completed at 175.00s
Order 5: Completed at 230.00s
Order 6: Completed at 233.00s

[Detailed Task Log]
TaskID   | SubTask  | Station  | Arrive(S)  | StartPick  | EndPick    | WaitTime   | PickDur    | ExtraDur   | TotalDur  
9        | 4        | 4        | 152.00     | 152.00     | 155.00     | 0.00       | 3.00       | 0.00       | 3.00      
10       | 4        | 4        | 152.00     | 155.00     | 158.00     | 3.00       | 3.00       | 0.00       | 3.00      
13       | 3        | 3        | 156.00     | 156.00     | 171.00     | 0.00       | 15.00      | 0.00       | 15.00     
7        | 5        | 4        | 135.00     | 158.00     | 172.00     | 23.00      | 12.00      | 2.00       | 14.00     
14       | 3        | 3        | 156.00     | 171.00     | 174.00     | 15.00      | 3.00       | 0.00       | 3.00      
8        | 5        | 4        | 135.00     | 172.00     | 175.00     | 37.00      | 3.00       | 0.00       | 3.00      
4        | 2        | 2        | 175.00     | 175.00     | 184.00     | 0.00       | 9.00       | 0.00       | 9.00      
16       | 0        | 4        | 135.00     | 175.00     | 184.00     | 40.00      | 9.00       | 0.00       | 9.00      
5        | 2        | 2        | 175.00     | 184.00     | 187.00     | 9.00       | 3.00       | 0.00       | 3.00      
6        | 7        | 2        | 175.00     | 187.00     | 190.00     | 12.00      | 3.00       | 0.00       | 3.00      
15       | 8        | 2        | 117.00     | 190.00     | 216.00     | 73.00      | 18.00      | 8.00       | 26.00     
0        | 1        | 1        | 209.00     | 209.00     | 224.00     | 0.00       | 15.00      | 0.00       | 15.00     
2        | 6        | 0        | 208.00     | 208.00     | 227.00     | 0.00       | 15.00      | 4.00       | 19.00     
1        | 1        | 1        | 209.00     | 224.00     | 227.00     | 15.00      | 3.00       | 0.00       | 3.00      
3        | 6        | 0        | 208.00     | 227.00     | 230.00     | 19.00      | 3.00       | 0.00       | 3.00      
11       | 9        | 1        | 209.00     | 227.00     | 230.00     | 18.00      | 3.00       | 0.00       | 3.00      
12       | 9        | 1        | 209.00     | 230.00     | 233.00     | 21.00      | 3.00       | 0.00       | 3.00      
