Global Makespan: 336.00s
==============================

[Station Statistics]
Station 0: Idle Time = 247.00s
Station 1: Idle Time = 298.00s
Station 2: Idle Time = 177.00s
Station 3: Idle Time = 267.00s
Station 4: Idle Time = 231.00s
Station 5: Idle Time = 153.00s

[Order Completion Times]
Order 0: Completed at 262.00s
Order 1: Completed at 307.00s
Order 2: Completed at 273.00s
Order 3: Completed at 255.00s
Order 4: Completed at 165.00s
Order 5: Completed at 310.00s
Order 6: Completed at 328.00s
Order 7: Completed at 336.00s

[Detailed Task Log]
TaskID   | SubTask  | Station  | Arrive(S)  | StartPick  | EndPick    | WaitTime   | PickDur    | ExtraDur   | TotalDur  
6        | 4        | 4        | 78.00      | 78.00      | 99.00      | 0.00       | 15.00      | 6.00       | 21.00     
13       | 5        | 5        | 153.00     | 153.00     | 156.00     | 0.00       | 3.00       | 0.00       | 3.00      
12       | 6        | 5        | 153.00     | 156.00     | 165.00     | 3.00       | 9.00       | 0.00       | 9.00      
18       | 2        | 2        | 161.00     | 161.00     | 183.00     | 0.00       | 18.00      | 4.00       | 22.00     
11       | 10       | 2        | 199.00     | 199.00     | 202.00     | 0.00       | 3.00       | 0.00       | 3.00      
7        | 4        | 4        | 252.00     | 252.00     | 255.00     | 0.00       | 3.00       | 0.00       | 3.00      
8        | 0        | 0        | 247.00     | 247.00     | 262.00     | 0.00       | 15.00      | 0.00       | 15.00     
4        | 3        | 3        | 267.00     | 267.00     | 270.00     | 0.00       | 3.00       | 0.00       | 3.00      
5        | 3        | 3        | 267.00     | 270.00     | 273.00     | 3.00       | 3.00       | 0.00       | 3.00      
2        | 7        | 3        | 145.00     | 273.00     | 276.00     | 128.00     | 3.00       | 0.00       | 3.00      
3        | 7        | 3        | 145.00     | 276.00     | 279.00     | 131.00     | 3.00       | 0.00       | 3.00      
19       | 11       | 0        | 247.00     | 262.00     | 280.00     | 15.00      | 18.00      | 0.00       | 18.00     
0        | 7        | 3        | 183.00     | 279.00     | 285.00     | 96.00      | 6.00       | 0.00       | 6.00      
1        | 7        | 3        | 183.00     | 285.00     | 291.00     | 102.00     | 6.00       | 0.00       | 6.00      
9        | 1        | 1        | 298.00     | 298.00     | 304.00     | 0.00       | 6.00       | 0.00       | 6.00      
10       | 1        | 1        | 298.00     | 304.00     | 307.00     | 6.00       | 3.00       | 0.00       | 3.00      
15       | 8        | 1        | 232.00     | 307.00     | 310.00     | 75.00      | 3.00       | 0.00       | 3.00      
16       | 9        | 1        | 298.00     | 310.00     | 325.00     | 12.00      | 15.00      | 0.00       | 15.00     
17       | 9        | 1        | 298.00     | 325.00     | 328.00     | 27.00      | 3.00       | 0.00       | 3.00      
14       | 12       | 1        | 241.00     | 328.00     | 336.00     | 87.00      | 6.00       | 2.00       | 8.00      
