iter,focus,selected_resource_layer,destroy_operator,repair_operator,fallback_repair_used,projection_mode,projection_repaired_subtask_count,effective_destroy_mu,effective_destroy_budget,destroy_tier,heavy_destroy_active,force_rotate_used,x_temp_boost_used,local_obj,Sx,Sy,Sz,F_raw,F_cal,residual_hat,residual_decay_alpha,residual_conf_alpha,duplicate_tote_count,duplicate_tote_penalty,coverage_hard_reject,unmet_sku_total,candidate_hard_reject_reason,candidate_pool_target_size,candidate_pool_generated_count,candidate_pool_unique_count,candidate_pool_attempt_count,candidate_pool_exact_count,candidate_pool_best_f_raw,candidate_pool_best_f_cal,selected_candidate_rank,joint_colocated_sort_postprocess_triggered,joint_colocated_sort_postprocess_candidate_groups,joint_colocated_sort_postprocess_submitted,joint_colocated_sort_postprocess_applied,joint_colocated_sort_postprocess_makespan_gain,joint_colocated_sort_postprocess_rejected_capacity,joint_colocated_sort_postprocess_rejected_interval_illegal,joint_colocated_sort_postprocess_rejected_noise,joint_colocated_sort_postprocess_rejected_eval_not_better,joint_colocated_sort_postprocess_rejected_validation,joint_colocated_sort_postprocess_rejected_target_conflict,empty_candidate_penalized,layer_cooldown_remaining,stagnation_increment,used_exact_eval_cache,exact_eval_cache_hit_count,consecutive_exact_cache_hit_count,adaptive_destroy_bonus,consecutive_fail_count_x,x_layer_dynamic_multiplier,x_failure_cooldown_remaining,local_accept,global_eval_triggered,validation_trigger,validated_makespan,catastrophic_rollback,z,best_z,improved,sa_temperature,sa_accept_prob,iter_runtime_sec,global_eval_time_sec,lkh_call_count
0,init,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.0,585.0,True,,,,,
1,Z,Z,,,False,,0,0.1,2,base,False,False,False,3124.5572300903123,0.3664423076923077,0.28371236123391297,3.690968801313629,3124.5572300903123,3124.5572300903123,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,585.0,585.0,False,20.0,0.0,0.05508850000114762,0.0,0
2,Z,Z,,,False,,0,0.1,2,base,False,False,False,3124.5572300903123,0.3664423076923077,0.28371236123391297,3.690968801313629,3124.5572300903123,3124.5572300903123,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,585.0,585.0,False,19.0,0.0,0.0265294000000722,0.0,0
3,Z,Z,,,False,,0,0.1,2,base,False,False,False,3124.5572300903123,0.3664423076923077,0.28371236123391297,3.690968801313629,3124.5572300903123,3124.5572300903123,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,585.0,585.0,False,18.05,0.0,0.024685299998964183,0.0,0
4,Z,Z,,,False,,0,0.1,2,base,False,False,False,3124.5572300903123,0.3664423076923077,0.28371236123391297,3.690968801313629,3124.5572300903123,3124.5572300903123,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,585.0,585.0,False,17.1475,0.0,0.026620999999067863,0.0,0
5,Z,Z,,,False,,0,0.1,2,base,False,False,False,3124.5572300903123,0.3664423076923077,0.28371236123391297,3.690968801313629,3124.5572300903123,3124.5572300903123,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,585.0,585.0,False,16.290125,0.0,0.022177900000315276,0.0,0
6,Z,Z,,,False,,0,0.1,2,base,False,False,False,3124.5572300903123,0.3664423076923077,0.28371236123391297,3.690968801313629,3124.5572300903123,3124.5572300903123,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,4,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,585.0,585.0,False,15.475618749999999,0.0,0.01634560000093188,0.0,0
7,Z,Z,,,False,,0,0.1,2,base,False,False,False,3124.5572300903123,0.3664423076923077,0.28371236123391297,3.690968801313629,3124.5572300903123,3124.5572300903123,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,585.0,585.0,False,14.701837812499999,0.0,0.01689520000036282,0.0,0
8,X,X,x_destroy_group_boundary_release,x_repair_affinity_pack,False,greedy_repair,1,0.1,5,base,False,False,True,3124.5572300903123,0.3664423076923077,0.28371236123391297,3.690968801313629,3124.5572300903123,3124.5572300903123,0.0,0.0,0.0,0,0.0,False,0,,3,9,2,12,2,3124.5572300903123,3124.5572300903123,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.2,True,1,1,0.0,0,1.0,0,True,False,periodic_skip_same_config,nan,False,585.0,585.0,False,27.933491843749998,1.0,0.43284440000024915,0.0,0
9,X,X,x_destroy_low_consolidation,x_repair_affinity_pack,False,greedy_repair,1,0.1,5,base,False,False,True,3124.5572300903123,0.3664423076923077,0.28371236123391297,3.690968801313629,3124.5572300903123,3124.5572300903123,0.0,0.0,0.0,0,0.0,False,0,,3,5,1,12,1,3124.5572300903123,3124.5572300903123,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.2,True,5,2,0.0,0,1.0,0,True,True,operator_route_precheck,585.0,False,585.0,585.0,False,26.536817251562496,1.0,1.9934104000003572,1.7927982000001066,1
