=== Resource-Time ALNS Summary ===
scale=GUROBI-S8, seed=42
total_runtime_sec=26.867532
best_z=336.000s @ iter=10

stop_reason=validated_best_no_change_50

exact_eval_cache_hit_count=27
empty_candidate_penalized_count=3

coverage_hard_reject_count=24
kitting_span_hard_reject_count=0
x_failure_decapitation_count=1

iter | focus |          z |       best |        F_raw |        F_cal |   tier | gval | emp | cd | cache | imp | skip |         lb
----------------------------------------------------------------------------------------------------------------------------------------------------
   0 | init |    585.000 |    585.000 |      -      |      -      |        |    N |   N |  0 |     N |   Y |    N |    -   
   1 |    Z |    585.000 |    585.000 |     3124.557 |     3124.557 |   base |    N |   N |  0 |     N |   N |    N |    -   
   2 |    Z |    585.000 |    585.000 |     3124.557 |     3124.557 |   base |    N |   N |  0 |     N |   N |    N |    -   
   3 |    Z |    585.000 |    585.000 |     3124.557 |     3124.557 |   base |    N |   N |  0 |     N |   N |    N |    -   
   4 |    Z |    585.000 |    585.000 |     3124.557 |     3124.557 |   base |    N |   N |  0 |     N |   N |    N |    -   
   5 |    Z |    585.000 |    585.000 |     3124.557 |     3124.557 |   base |    N |   N |  0 |     N |   N |    N |    -   
   6 |    Z |    585.000 |    585.000 |     3124.557 |     3124.557 |   base |    N |   N |  0 |     N |   N |    N |    -   
   7 |    Z |    585.000 |    585.000 |     3124.557 |     3124.557 |   base |    N |   N |  0 |     N |   N |    N |    -   
   8 |    X |    585.000 |    585.000 |     3124.557 |     3124.557 |   base |    N |   N |  0 |     Y |   N |    N |    -   
   9 |    X |    585.000 |    585.000 |     3124.557 |     3124.557 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  10 |    Y |    336.000 |    336.000 |     3060.996 |     3060.996 |   base |    Y |   N |  0 |     N |   Y |    N |    -   
  11 |    Z |    336.000 |    336.000 |     3060.996 |     3060.996 |   base |    N |   N |  0 |     N |   N |    N |    -   
  12 |    Z |    336.000 |    336.000 |     3060.996 |     3060.996 |   base |    N |   N |  0 |     N |   N |    N |    -   
  13 |    Z |    336.000 |    336.000 |     3060.996 |     3060.996 |   base |    N |   N |  0 |     N |   N |    N |    -   
  14 |    Z |    336.000 |    336.000 |     3060.996 |     3060.996 |   base |    N |   N |  0 |     N |   N |    N |    -   
  15 |    Z |    336.000 |    336.000 |     3060.996 |     3060.996 |   base |    N |   N |  0 |     N |   N |    N |    -   
  16 |    Z |    336.000 |    336.000 |     3060.996 |     3060.996 |   base |    N |   N |  0 |     N |   N |    N |    -   
  17 |    X |    336.000 |    336.000 |     3060.996 |     3060.996 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  18 |    Z |    336.000 |    336.000 |     3060.996 |     3060.996 |   base |    N |   N |  0 |     N |   N |    N |    -   
  19 |    Z |    336.000 |    336.000 |     3060.996 |     3060.996 |   base |    N |   N |  0 |     N |   N |    N |    -   
  20 |    Z |    336.000 |    336.000 |     3060.996 |     3060.996 |   base |    N |   N |  0 |     N |   N |    N |    -   
