iter,focus,z,best_z,improved,skipped,lb,epsilon,mode,roles,vns_type,z_before,z_cand,best_z_after,LB_0,LB_mode,gap_mode,accepted_type,iter_runtime_sec,subtask_count,avg_sku_per_subtask,max_sku_per_subtask,station_idle_total,station_utilization_mean,station_load_max,station_load_std,station_load_max_ratio,hit_stack_count,noise_ratio,avg_stack_span,sorting_cost_proxy,robot_path_length_total,robot_utilization_mean,latest_robot_finish,robot_finish_ratio,arrival_slack_mean,global_makespan,UB
0,init,463.0,463.0,True,False,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M_X,389.0,389.0,True,False,218.0,0.05,M_X,"{'X': 'Active', 'Y': 'Anchored', 'B': 'Anchored', 'R': 'Frozen'}",Full,463.0,389.0,389.0,380.0,218.0,0.5291576673866091,strong,37.131374500051606,6.0,5.833333333333333,7.0,423.0,0.442159383033419,9.0,1.5,1.2,15.0,0.2777777777777778,5.0,20.0,634.0,0.05398457583547557,327.0,0.8406169665809768,28.333333333333332,389.0,463.0
2,M_Y,596.0,389.0,False,False,327.0,0.05,M_Y,"{'X': 'Frozen', 'Y': 'Active', 'B': 'Frozen', 'R': 'Anchored'}",Full,389.0,596.0,389.0,327.0,327.0,0.15938303341902313,reject,36.614290400000755,6.0,5.833333333333333,7.0,693.0,0.28859060402684567,8.0,0.5,1.0666666666666667,15.0,0.2777777777777778,5.0,20.0,666.0,0.035234899328859065,548.0,0.9194630872483222,28.4,596.0,389.0
3,M_B,389.0,389.0,False,False,189.0,0.05,M_B,"{'X': 'Frozen', 'Y': 'Frozen', 'B': 'Active', 'R': 'Anchored'}",Full,389.0,389.0,389.0,548.0,189.0,0.5141388174807198,weak,42.78235200000927,6.0,5.833333333333333,7.0,423.0,0.442159383033419,9.0,1.5,1.2,15.0,0.2777777777777778,5.0,20.0,634.0,0.05398457583547557,327.0,0.8406169665809768,28.333333333333332,389.0,389.0
4,M_XYB,382.0,382.0,True,False,327.0,0.05,M_XYB,"{'X': 'Active', 'Y': 'Active', 'B': 'Anchored', 'R': 'Frozen'}",Full,389.0,382.0,382.0,327.0,327.0,0.15938303341902313,strong,46.74489770003129,6.0,5.833333333333333,7.0,364.0,0.4607329842931937,9.0,2.0,1.2857142857142858,14.0,0.34146341463414637,6.0,28.0,602.0,0.05759162303664922,305.0,0.7984293193717278,28.071428571428573,382.0,389.0
5,M_R,382.0,382.0,False,False,305.0,0.05,M_R,"{'X': 'Frozen', 'Y': 'Anchored', 'B': 'Frozen', 'R': 'Active'}",Full,382.0,382.0,382.0,305.0,305.0,0.20157068062827224,reject,35.64981109998189,6.0,5.833333333333333,7.0,364.0,0.4607329842931937,9.0,2.0,1.2857142857142858,14.0,0.34146341463414637,6.0,28.0,602.0,0.05759162303664922,305.0,0.7984293193717278,28.071428571428573,382.0,382.0
6,M_XYB,474.0,382.0,False,False,305.0,0.05,M_XYB,"{'X': 'Active', 'Y': 'Active', 'B': 'Anchored', 'R': 'Frozen'}",Full,382.0,474.0,382.0,305.0,305.0,0.20157068062827224,reject,36.92049190000398,6.0,5.833333333333333,8.0,437.0,0.36708860759493667,9.0,1.5,1.2,15.0,0.3076923076923077,5.75,24.0,596.0,0.056962025316455694,331.0,0.6983122362869199,34.266666666666666,474.0,382.0
7,M_X,375.0,375.0,True,False,222.0,0.05,M_X,"{'X': 'Active', 'Y': 'Anchored', 'B': 'Anchored', 'R': 'Frozen'}",Full,382.0,375.0,375.0,331.0,222.0,0.418848167539267,strong,36.82987089996459,6.0,5.833333333333333,7.0,397.0,0.456,9.0,2.5,1.3846153846153846,13.0,0.2571428571428571,5.5,18.0,542.0,0.06133333333333334,297.0,0.792,29.46153846153846,375.0,382.0
8,M_B,375.0,375.0,False,False,178.0,0.05,M_B,"{'X': 'Frozen', 'Y': 'Frozen', 'B': 'Active', 'R': 'Anchored'}",Full,375.0,375.0,375.0,297.0,178.0,0.5253333333333333,reject,32.960795199964195,6.0,5.833333333333333,7.0,397.0,0.456,9.0,2.5,1.3846153846153846,13.0,0.2571428571428571,5.5,18.0,542.0,0.06133333333333334,297.0,0.792,29.46153846153846,375.0,375.0
9,M_Y,429.0,375.0,False,False,297.0,0.05,M_Y,"{'X': 'Frozen', 'Y': 'Active', 'B': 'Frozen', 'R': 'Anchored'}",Full,375.0,429.0,375.0,297.0,297.0,0.208,reject,36.664292000001296,6.0,5.833333333333333,7.0,512.0,0.39860139860139865,8.0,1.5,1.2307692307692308,13.0,0.2571428571428571,5.5,18.0,538.0,0.053613053613053616,392.0,0.9137529137529138,72.61538461538461,429.0,375.0
10,M_R,nan,375.0,False,True,392.0,0.05,M_R,"{'X': 'Frozen', 'Y': 'Anchored', 'B': 'Frozen', 'R': 'Active'}",Skip,375.0,nan,375.0,392.0,392.0,-0.04533333333333334,skip,0.000713899964466691,6.0,5.833333333333333,7.0,512.0,0.39860139860139865,8.0,1.5,1.2307692307692308,13.0,0.2571428571428571,5.5,18.0,538.0,0.053613053613053616,392.0,0.9137529137529138,72.61538461538461,429.0,375.0
